"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	37	4430141	0.8
	"1999"	"1999"	"Alaska"	"02"	27	624779	4.3
	"1999"	"1999"	"Arizona"	"04"	229	5023823	4.6
	"1999"	"1999"	"Arkansas"	"05"	28	2651860	1.1
	"1999"	"1999"	"California"	"06"	1474	33499204	4.4
	"1999"	"1999"	"Colorado"	"08"	164	4226018	3.9
	"1999"	"1999"	"Connecticut"	"09"	151	3386401	4.5
	"1999"	"1999"	"Delaware"	"10"	32	774990	4.1
	"1999"	"1999"	"District of Columbia"	"11"	28	570213	4.9
	"1999"	"1999"	"Florida"	"12"	402	15759421	2.6
	"1999"	"1999"	"Georgia"	"13"	83	8045965	1.0
	"1999"	"1999"	"Hawaii"	"15"	30	1210300	2.5
	"1999"	"1999"	"Idaho"	"16"	31	1275674	2.4
	"1999"	"1999"	"Illinois"	"17"	483	12359020	3.9
	"1999"	"1999"	"Indiana"	"18"	46	6044969	0.8
	"1999"	"1999"	"Iowa"	"19"	14	2917634	Unreliable
	"1999"	"1999"	"Kansas"	"20"	25	2678338	0.9
	"1999"	"1999"	"Kentucky"	"21"	52	4018053	1.3
	"1999"	"1999"	"Louisiana"	"22"	28	4460811	0.6
	"1999"	"1999"	"Maine"	"23"	27	1266808	2.1
	"1999"	"1999"	"Maryland"	"24"	487	5254509	9.3
	"1999"	"1999"	"Massachusetts"	"25"	326	6317345	5.2
	"1999"	"1999"	"Michigan"	"26"	121	9897116	1.2
	"1999"	"1999"	"Minnesota"	"27"	57	4873481	1.2
	"1999"	"1999"	"Mississippi"	"28"	15	2828408	Unreliable
	"1999"	"1999"	"Missouri"	"29"	100	5561948	1.8
	"1999"	"1999"	"Montana"	"30"	16	897507	Unreliable
	"1999"	"1999"	"Nebraska"	"31"	Suppressed	1704764	Suppressed
	"1999"	"1999"	"Nevada"	"32"	153	1934718	7.9
	"1999"	"1999"	"New Hampshire"	"33"	40	1222014	3.3
	"1999"	"1999"	"New Jersey"	"34"	323	8359592	3.9
	"1999"	"1999"	"New Mexico"	"35"	180	1808082	10.0
	"1999"	"1999"	"New York"	"36"	621	18882725	3.3
	"1999"	"1999"	"North Carolina"	"37"	159	7949361	2.0
	"1999"	"1999"	"North Dakota"	"38"	Suppressed	644259	Suppressed
	"1999"	"1999"	"Ohio"	"39"	164	11335454	1.4
	"1999"	"1999"	"Oklahoma"	"40"	89	3437147	2.6
	"1999"	"1999"	"Oregon"	"41"	120	3393941	3.5
	"1999"	"1999"	"Pennsylvania"	"42"	320	12263805	2.6
	"1999"	"1999"	"Rhode Island"	"44"	35	1040402	3.4
	"1999"	"1999"	"South Carolina"	"45"	48	3974682	1.2
	"1999"	"1999"	"South Dakota"	"46"	Suppressed	750412	Suppressed
	"1999"	"1999"	"Tennessee"	"47"	89	5638706	1.6
	"1999"	"1999"	"Texas"	"48"	351	20558220	1.7
	"1999"	"1999"	"Utah"	"49"	141	2203482	6.4
	"1999"	"1999"	"Vermont"	"50"	15	604683	Unreliable
	"1999"	"1999"	"Virginia"	"51"	201	7000174	2.9
	"1999"	"1999"	"Washington"	"53"	353	5842564	6.0
	"1999"	"1999"	"West Virginia"	"54"	33	1811799	1.8
	"1999"	"1999"	"Wisconsin"	"55"	83	5332666	1.6
	"1999"	"1999"	"Wyoming"	"56"	Suppressed	491780	Suppressed
	"2000"	"2000"	"Alabama"	"01"	43	4447100	1.0
	"2000"	"2000"	"Alaska"	"02"	27	626932	4.3
	"2000"	"2000"	"Arizona"	"04"	235	5130632	4.6
	"2000"	"2000"	"Arkansas"	"05"	20	2673400	0.7
	"2000"	"2000"	"California"	"06"	1012	33871648	3.0
	"2000"	"2000"	"Colorado"	"08"	174	4301261	4.0
	"2000"	"2000"	"Connecticut"	"09"	165	3405565	4.8
	"2000"	"2000"	"Delaware"	"10"	29	783600	3.7
	"2000"	"2000"	"District of Columbia"	"11"	43	572059	7.5
	"2000"	"2000"	"Florida"	"12"	556	15982378	3.5
	"2000"	"2000"	"Georgia"	"13"	115	8186453	1.4
	"2000"	"2000"	"Hawaii"	"15"	29	1211537	2.4
	"2000"	"2000"	"Idaho"	"16"	28	1293953	2.2
	"2000"	"2000"	"Illinois"	"17"	558	12419293	4.5
	"2000"	"2000"	"Indiana"	"18"	41	6080485	0.7
	"2000"	"2000"	"Iowa"	"19"	19	2926324	Unreliable
	"2000"	"2000"	"Kansas"	"20"	22	2688418	0.8
	"2000"	"2000"	"Kentucky"	"21"	92	4041769	2.3
	"2000"	"2000"	"Louisiana"	"22"	52	4468976	1.2
	"2000"	"2000"	"Maine"	"23"	41	1274923	3.2
	"2000"	"2000"	"Maryland"	"24"	481	5296486	9.1
	"2000"	"2000"	"Massachusetts"	"25"	314	6349097	4.9
	"2000"	"2000"	"Michigan"	"26"	180	9938444	1.8
	"2000"	"2000"	"Minnesota"	"27"	57	4919479	1.2
	"2000"	"2000"	"Mississippi"	"28"	12	2844658	Unreliable
	"2000"	"2000"	"Missouri"	"29"	131	5595211	2.3
	"2000"	"2000"	"Montana"	"30"	11	902195	Unreliable
	"2000"	"2000"	"Nebraska"	"31"	16	1711263	Unreliable
	"2000"	"2000"	"Nevada"	"32"	178	1998257	8.9
	"2000"	"2000"	"New Hampshire"	"33"	29	1235786	2.3
	"2000"	"2000"	"New Jersey"	"34"	350	8414350	4.2
	"2000"	"2000"	"New Mexico"	"35"	180	1819046	9.9
	"2000"	"2000"	"New York"	"36"	494	18976457	2.6
	"2000"	"2000"	"North Carolina"	"37"	286	8049313	3.6
	"2000"	"2000"	"North Dakota"	"38"	Suppressed	642200	Suppressed
	"2000"	"2000"	"Ohio"	"39"	250	11353140	2.2
	"2000"	"2000"	"Oklahoma"	"40"	127	3450654	3.7
	"2000"	"2000"	"Oregon"	"41"	106	3421399	3.1
	"2000"	"2000"	"Pennsylvania"	"42"	319	12281054	2.6
	"2000"	"2000"	"Rhode Island"	"44"	57	1048319	5.4
	"2000"	"2000"	"South Carolina"	"45"	87	4012012	2.2
	"2000"	"2000"	"South Dakota"	"46"	Suppressed	754844	Suppressed
	"2000"	"2000"	"Tennessee"	"47"	100	5689283	1.8
	"2000"	"2000"	"Texas"	"48"	379	20851820	1.8
	"2000"	"2000"	"Utah"	"49"	156	2233169	7.0
	"2000"	"2000"	"Vermont"	"50"	22	608827	3.6
	"2000"	"2000"	"Virginia"	"51"	250	7078515	3.5
	"2000"	"2000"	"Washington"	"53"	353	5894121	6.0
	"2000"	"2000"	"West Virginia"	"54"	50	1808344	2.8
	"2000"	"2000"	"Wisconsin"	"55"	112	5363675	2.1
	"2000"	"2000"	"Wyoming"	"56"	10	493782	Unreliable
	"2001"	"2001"	"Alabama"	"01"	57	4467634	1.3
	"2001"	"2001"	"Alaska"	"02"	14	633714	Unreliable
	"2001"	"2001"	"Arizona"	"04"	265	5273477	5.0
	"2001"	"2001"	"Arkansas"	"05"	30	2691571	1.1
	"2001"	"2001"	"California"	"06"	551	34479458	1.6
	"2001"	"2001"	"Colorado"	"08"	192	4425687	4.3
	"2001"	"2001"	"Connecticut"	"09"	149	3432835	4.3
	"2001"	"2001"	"Delaware"	"10"	36	795699	4.5
	"2001"	"2001"	"District of Columbia"	"11"	46	574504	8.0
	"2001"	"2001"	"Florida"	"12"	846	16356966	5.2
	"2001"	"2001"	"Georgia"	"13"	183	8377038	2.2
	"2001"	"2001"	"Hawaii"	"15"	38	1225948	3.1
	"2001"	"2001"	"Idaho"	"16"	51	1319962	3.9
	"2001"	"2001"	"Illinois"	"17"	525	12488445	4.2
	"2001"	"2001"	"Indiana"	"18"	67	6127760	1.1
	"2001"	"2001"	"Iowa"	"19"	27	2931997	0.9
	"2001"	"2001"	"Kansas"	"20"	47	2702162	1.7
	"2001"	"2001"	"Kentucky"	"21"	144	4068132	3.5
	"2001"	"2001"	"Louisiana"	"22"	81	4477875	1.8
	"2001"	"2001"	"Maine"	"23"	55	1285692	4.3
	"2001"	"2001"	"Maryland"	"24"	489	5374691	9.1
	"2001"	"2001"	"Massachusetts"	"25"	500	6397634	7.8
	"2001"	"2001"	"Michigan"	"26"	192	9991120	1.9
	"2001"	"2001"	"Minnesota"	"27"	96	4982796	1.9
	"2001"	"2001"	"Mississippi"	"28"	26	2852994	0.9
	"2001"	"2001"	"Missouri"	"29"	132	5641142	2.3
	"2001"	"2001"	"Montana"	"30"	20	906961	2.2
	"2001"	"2001"	"Nebraska"	"31"	32	1719836	1.9
	"2001"	"2001"	"Nevada"	"32"	182	2098399	8.7
	"2001"	"2001"	"New Hampshire"	"33"	53	1255517	4.2
	"2001"	"2001"	"New Jersey"	"34"	397	8492671	4.7
	"2001"	"2001"	"New Mexico"	"35"	151	1831690	8.2
	"2001"	"2001"	"New York"	"36"	611	19082838	3.2
	"2001"	"2001"	"North Carolina"	"37"	338	8210122	4.1
	"2001"	"2001"	"North Dakota"	"38"	Suppressed	639062	Suppressed
	"2001"	"2001"	"Ohio"	"39"	336	11387404	3.0
	"2001"	"2001"	"Oklahoma"	"40"	156	3467100	4.5
	"2001"	"2001"	"Oregon"	"41"	147	3467937	4.2
	"2001"	"2001"	"Pennsylvania"	"42"	252	12298970	2.0
	"2001"	"2001"	"Rhode Island"	"44"	78	1057142	7.4
	"2001"	"2001"	"South Carolina"	"45"	83	4064995	2.0
	"2001"	"2001"	"South Dakota"	"46"	Suppressed	757972	Suppressed
	"2001"	"2001"	"Tennessee"	"47"	136	5750789	2.4
	"2001"	"2001"	"Texas"	"48"	561	21319622	2.6
	"2001"	"2001"	"Utah"	"49"	157	2283715	6.9
	"2001"	"2001"	"Vermont"	"50"	31	612223	5.1
	"2001"	"2001"	"Virginia"	"51"	312	7198362	4.3
	"2001"	"2001"	"Washington"	"53"	324	5985722	5.4
	"2001"	"2001"	"West Virginia"	"54"	138	1801481	7.7
	"2001"	"2001"	"Wisconsin"	"55"	140	5406835	2.6
	"2001"	"2001"	"Wyoming"	"56"	Suppressed	494657	Suppressed
	"2002"	"2002"	"Alabama"	"01"	71	4480089	1.6
	"2002"	"2002"	"Alaska"	"02"	Suppressed	642337	Suppressed
	"2002"	"2002"	"Arizona"	"04"	320	5396255	5.9
	"2002"	"2002"	"Arkansas"	"05"	90	2705927	3.3
	"2002"	"2002"	"California"	"06"	1453	34871843	4.2
	"2002"	"2002"	"Colorado"	"08"	196	4490406	4.4
	"2002"	"2002"	"Connecticut"	"09"	172	3458749	5.0
	"2002"	"2002"	"Delaware"	"10"	48	806169	6.0
	"2002"	"2002"	"District of Columbia"	"11"	29	573158	5.1
	"2002"	"2002"	"Florida"	"12"	959	16689370	5.7
	"2002"	"2002"	"Georgia"	"13"	215	8508256	2.5
	"2002"	"2002"	"Hawaii"	"15"	46	1239613	3.7
	"2002"	"2002"	"Idaho"	"16"	45	1340372	3.4
	"2002"	"2002"	"Illinois"	"17"	569	12525556	4.5
	"2002"	"2002"	"Indiana"	"18"	63	6155967	1.0
	"2002"	"2002"	"Iowa"	"19"	37	2934234	1.3
	"2002"	"2002"	"Kansas"	"20"	80	2713535	2.9
	"2002"	"2002"	"Kentucky"	"21"	177	4089875	4.3
	"2002"	"2002"	"Louisiana"	"22"	95	4497267	2.1
	"2002"	"2002"	"Maine"	"23"	91	1295960	7.0
	"2002"	"2002"	"Maryland"	"24"	543	5440389	10.0
	"2002"	"2002"	"Massachusetts"	"25"	484	6417206	7.5
	"2002"	"2002"	"Michigan"	"26"	227	10015710	2.3
	"2002"	"2002"	"Minnesota"	"27"	95	5018935	1.9
	"2002"	"2002"	"Mississippi"	"28"	26	2858681	0.9
	"2002"	"2002"	"Missouri"	"29"	189	5674825	3.3
	"2002"	"2002"	"Montana"	"30"	20	911667	2.2
	"2002"	"2002"	"Nebraska"	"31"	25	1728292	1.4
	"2002"	"2002"	"Nevada"	"32"	220	2173791	10.1
	"2002"	"2002"	"New Hampshire"	"33"	80	1269089	6.3
	"2002"	"2002"	"New Jersey"	"34"	486	8552643	5.7
	"2002"	"2002"	"New Mexico"	"35"	196	1855309	10.6
	"2002"	"2002"	"New York"	"36"	555	19137800	2.9
	"2002"	"2002"	"North Carolina"	"37"	407	8326201	4.9
	"2002"	"2002"	"North Dakota"	"38"	14	638168	Unreliable
	"2002"	"2002"	"Ohio"	"39"	421	11407889	3.7
	"2002"	"2002"	"Oklahoma"	"40"	146	3489080	4.2
	"2002"	"2002"	"Oregon"	"41"	193	3513424	5.5
	"2002"	"2002"	"Pennsylvania"	"42"	345	12331031	2.8
	"2002"	"2002"	"Rhode Island"	"44"	72	1065995	6.8
	"2002"	"2002"	"South Carolina"	"45"	81	4107795	2.0
	"2002"	"2002"	"South Dakota"	"46"	12	760020	Unreliable
	"2002"	"2002"	"Tennessee"	"47"	167	5795918	2.9
	"2002"	"2002"	"Texas"	"48"	739	21690325	3.4
	"2002"	"2002"	"Utah"	"49"	203	2324815	8.7
	"2002"	"2002"	"Vermont"	"50"	36	615442	5.8
	"2002"	"2002"	"Virginia"	"51"	352	7286873	4.8
	"2002"	"2002"	"Washington"	"53"	455	6052349	7.5
	"2002"	"2002"	"West Virginia"	"54"	178	1805414	9.9
	"2002"	"2002"	"Wisconsin"	"55"	173	5445162	3.2
	"2002"	"2002"	"Wyoming"	"56"	17	500017	Unreliable
	"2003"	"2003"	"Alabama"	"01"	49	4503491	1.1
	"2003"	"2003"	"Alaska"	"02"	11	648414	Unreliable
	"2003"	"2003"	"Arizona"	"04"	340	5510364	6.2
	"2003"	"2003"	"Arkansas"	"05"	89	2724816	3.3
	"2003"	"2003"	"California"	"06"	1398	35253159	4.0
	"2003"	"2003"	"Colorado"	"08"	213	4528732	4.7
	"2003"	"2003"	"Connecticut"	"09"	167	3484336	4.8
	"2003"	"2003"	"Delaware"	"10"	37	818003	4.5
	"2003"	"2003"	"District of Columbia"	"11"	60	568502	10.6
	"2003"	"2003"	"Florida"	"12"	1043	17004085	6.1
	"2003"	"2003"	"Georgia"	"13"	236	8622793	2.7
	"2003"	"2003"	"Hawaii"	"15"	43	1251154	3.4
	"2003"	"2003"	"Idaho"	"16"	54	1363380	4.0
	"2003"	"2003"	"Illinois"	"17"	460	12556006	3.7
	"2003"	"2003"	"Indiana"	"18"	127	6196638	2.0
	"2003"	"2003"	"Iowa"	"19"	38	2941999	1.3
	"2003"	"2003"	"Kansas"	"20"	75	2723004	2.8
	"2003"	"2003"	"Kentucky"	"21"	234	4117170	5.7
	"2003"	"2003"	"Louisiana"	"22"	121	4521042	2.7
	"2003"	"2003"	"Maine"	"23"	86	1306513	6.6
	"2003"	"2003"	"Maryland"	"24"	558	5496269	10.2
	"2003"	"2003"	"Massachusetts"	"25"	588	6422565	9.2
	"2003"	"2003"	"Michigan"	"26"	253	10041152	2.5
	"2003"	"2003"	"Minnesota"	"27"	106	5053572	2.1
	"2003"	"2003"	"Mississippi"	"28"	31	2868312	1.1
	"2003"	"2003"	"Missouri"	"29"	271	5709403	4.7
	"2003"	"2003"	"Montana"	"30"	41	919630	4.5
	"2003"	"2003"	"Nebraska"	"31"	14	1738643	Unreliable
	"2003"	"2003"	"Nevada"	"32"	244	2248850	10.8
	"2003"	"2003"	"New Hampshire"	"33"	92	1279840	7.2
	"2003"	"2003"	"New Jersey"	"34"	445	8601402	5.2
	"2003"	"2003"	"New Mexico"	"35"	218	1877574	11.6
	"2003"	"2003"	"New York"	"36"	576	19175939	3.0
	"2003"	"2003"	"North Carolina"	"37"	496	8422501	5.9
	"2003"	"2003"	"North Dakota"	"38"	Suppressed	638817	Suppressed
	"2003"	"2003"	"Ohio"	"39"	365	11434788	3.2
	"2003"	"2003"	"Oklahoma"	"40"	254	3504892	7.2
	"2003"	"2003"	"Oregon"	"41"	209	3547376	5.9
	"2003"	"2003"	"Pennsylvania"	"42"	470	12374658	3.8
	"2003"	"2003"	"Rhode Island"	"44"	99	1071342	9.2
	"2003"	"2003"	"South Carolina"	"45"	92	4150297	2.2
	"2003"	"2003"	"South Dakota"	"46"	Suppressed	763729	Suppressed
	"2003"	"2003"	"Tennessee"	"47"	294	5847812	5.0
	"2003"	"2003"	"Texas"	"48"	791	22030931	3.6
	"2003"	"2003"	"Utah"	"49"	258	2360137	10.9
	"2003"	"2003"	"Vermont"	"50"	45	617858	7.3
	"2003"	"2003"	"Virginia"	"51"	362	7366977	4.9
	"2003"	"2003"	"Washington"	"53"	471	6104115	7.7
	"2003"	"2003"	"West Virginia"	"54"	193	1812295	10.6
	"2003"	"2003"	"Wisconsin"	"55"	200	5479203	3.7
	"2003"	"2003"	"Wyoming"	"56"	Suppressed	503453	Suppressed
	"2004"	"2004"	"Alabama"	"01"	83	4530729	1.8
	"2004"	"2004"	"Alaska"	"02"	10	659286	Unreliable
	"2004"	"2004"	"Arizona"	"04"	344	5652404	6.1
	"2004"	"2004"	"Arkansas"	"05"	127	2749686	4.6
	"2004"	"2004"	"California"	"06"	1413	35574576	4.0
	"2004"	"2004"	"Colorado"	"08"	224	4575013	4.9
	"2004"	"2004"	"Connecticut"	"09"	193	3496094	5.5
	"2004"	"2004"	"Delaware"	"10"	35	830803	4.2
	"2004"	"2004"	"District of Columbia"	"11"	53	567754	9.3
	"2004"	"2004"	"Florida"	"12"	1196	17415318	6.9
	"2004"	"2004"	"Georgia"	"13"	258	8769252	2.9
	"2004"	"2004"	"Hawaii"	"15"	57	1273569	4.5
	"2004"	"2004"	"Idaho"	"16"	47	1391802	3.4
	"2004"	"2004"	"Illinois"	"17"	532	12589773	4.2
	"2004"	"2004"	"Indiana"	"18"	138	6233007	2.2
	"2004"	"2004"	"Iowa"	"19"	61	2953635	2.1
	"2004"	"2004"	"Kansas"	"20"	116	2734373	4.2
	"2004"	"2004"	"Kentucky"	"21"	221	4146101	5.3
	"2004"	"2004"	"Louisiana"	"22"	144	4552238	3.2
	"2004"	"2004"	"Maine"	"23"	98	1313688	7.5
	"2004"	"2004"	"Maryland"	"24"	486	5546935	8.8
	"2004"	"2004"	"Massachusetts"	"25"	459	6412281	7.2
	"2004"	"2004"	"Michigan"	"26"	351	10055315	3.5
	"2004"	"2004"	"Minnesota"	"27"	135	5087713	2.7
	"2004"	"2004"	"Mississippi"	"28"	26	2889010	0.9
	"2004"	"2004"	"Missouri"	"29"	275	5747741	4.8
	"2004"	"2004"	"Montana"	"30"	45	930009	4.8
	"2004"	"2004"	"Nebraska"	"31"	26	1749370	1.5
	"2004"	"2004"	"Nevada"	"32"	275	2346222	11.7
	"2004"	"2004"	"New Hampshire"	"33"	90	1290121	7.0
	"2004"	"2004"	"New Jersey"	"34"	312	8634561	3.6
	"2004"	"2004"	"New Mexico"	"35"	185	1903808	9.7
	"2004"	"2004"	"New York"	"36"	479	19171567	2.5
	"2004"	"2004"	"North Carolina"	"37"	562	8553152	6.6
	"2004"	"2004"	"North Dakota"	"38"	13	644705	Unreliable
	"2004"	"2004"	"Ohio"	"39"	515	11452251	4.5
	"2004"	"2004"	"Oklahoma"	"40"	306	3525233	8.7
	"2004"	"2004"	"Oregon"	"41"	225	3569463	6.3
	"2004"	"2004"	"Pennsylvania"	"42"	475	12410722	3.8
	"2004"	"2004"	"Rhode Island"	"44"	75	1074579	7.0
	"2004"	"2004"	"South Carolina"	"45"	128	4210921	3.0
	"2004"	"2004"	"South Dakota"	"46"	20	770396	2.6
	"2004"	"2004"	"Tennessee"	"47"	379	5910809	6.4
	"2004"	"2004"	"Texas"	"48"	814	22394023	3.6
	"2004"	"2004"	"Utah"	"49"	264	2401580	11.0
	"2004"	"2004"	"Vermont"	"50"	37	619920	6.0
	"2004"	"2004"	"Virginia"	"51"	390	7475575	5.2
	"2004"	"2004"	"Washington"	"53"	575	6178645	9.3
	"2004"	"2004"	"West Virginia"	"54"	251	1816438	13.8
	"2004"	"2004"	"Wisconsin"	"55"	221	5514026	4.0
	"2004"	"2004"	"Wyoming"	"56"	12	509106	Unreliable
	"2005"	"2005"	"Alabama"	"01"	80	4569805	1.8
	"2005"	"2005"	"Alaska"	"02"	18	666946	Unreliable
	"2005"	"2005"	"Arizona"	"04"	375	5839077	6.4
	"2005"	"2005"	"Arkansas"	"05"	123	2781097	4.4
	"2005"	"2005"	"California"	"06"	1372	35827943	3.8
	"2005"	"2005"	"Colorado"	"08"	295	4631888	6.4
	"2005"	"2005"	"Connecticut"	"09"	163	3506956	4.6
	"2005"	"2005"	"Delaware"	"10"	29	845150	3.4
	"2005"	"2005"	"District of Columbia"	"11"	44	567136	7.8
	"2005"	"2005"	"Florida"	"12"	1097	17842038	6.1
	"2005"	"2005"	"Georgia"	"13"	300	8925922	3.4
	"2005"	"2005"	"Hawaii"	"15"	67	1292729	5.2
	"2005"	"2005"	"Idaho"	"16"	50	1428241	3.5
	"2005"	"2005"	"Illinois"	"17"	590	12609903	4.7
	"2005"	"2005"	"Indiana"	"18"	160	6278616	2.5
	"2005"	"2005"	"Iowa"	"19"	67	2964454	2.3
	"2005"	"2005"	"Kansas"	"20"	106	2745299	3.9
	"2005"	"2005"	"Kentucky"	"21"	285	4182742	6.8
	"2005"	"2005"	"Louisiana"	"22"	172	4576628	3.8
	"2005"	"2005"	"Maine"	"23"	116	1318787	8.8
	"2005"	"2005"	"Maryland"	"24"	495	5592379	8.9
	"2005"	"2005"	"Massachusetts"	"25"	557	6403290	8.7
	"2005"	"2005"	"Michigan"	"26"	483	10051137	4.8
	"2005"	"2005"	"Minnesota"	"27"	144	5119598	2.8
	"2005"	"2005"	"Mississippi"	"28"	40	2905943	1.4
	"2005"	"2005"	"Missouri"	"29"	302	5790300	5.2
	"2005"	"2005"	"Montana"	"30"	45	940102	4.8
	"2005"	"2005"	"Nebraska"	"31"	43	1761497	2.4
	"2005"	"2005"	"Nevada"	"32"	323	2432143	13.3
	"2005"	"2005"	"New Hampshire"	"33"	109	1298492	8.4
	"2005"	"2005"	"New Jersey"	"34"	435	8651974	5.0
	"2005"	"2005"	"New Mexico"	"35"	211	1932274	10.9
	"2005"	"2005"	"New York"	"36"	562	19132610	2.9
	"2005"	"2005"	"North Carolina"	"37"	654	8705407	7.5
	"2005"	"2005"	"North Dakota"	"38"	Suppressed	646089	Suppressed
	"2005"	"2005"	"Ohio"	"39"	560	11463320	4.9
	"2005"	"2005"	"Oklahoma"	"40"	313	3548597	8.8
	"2005"	"2005"	"Oregon"	"41"	267	3613202	7.4
	"2005"	"2005"	"Pennsylvania"	"42"	504	12449990	4.0
	"2005"	"2005"	"Rhode Island"	"44"	112	1067916	10.5
	"2005"	"2005"	"South Carolina"	"45"	149	4270150	3.5
	"2005"	"2005"	"South Dakota"	"46"	22	775493	2.8
	"2005"	"2005"	"Tennessee"	"47"	447	5991057	7.5
	"2005"	"2005"	"Texas"	"48"	872	22778123	3.8
	"2005"	"2005"	"Utah"	"49"	326	2457719	13.3
	"2005"	"2005"	"Vermont"	"50"	37	621215	6.0
	"2005"	"2005"	"Virginia"	"51"	363	7577105	4.8
	"2005"	"2005"	"Washington"	"53"	603	6257305	9.6
	"2005"	"2005"	"West Virginia"	"54"	140	1820492	7.7
	"2005"	"2005"	"Wisconsin"	"55"	273	5546166	4.9
	"2005"	"2005"	"Wyoming"	"56"	10	514157	Unreliable
	"2006"	"2006"	"Alabama"	"01"	124	4628981	2.7
	"2006"	"2006"	"Alaska"	"02"	29	675302	4.3
	"2006"	"2006"	"Arizona"	"04"	459	6029141	7.6
	"2006"	"2006"	"Arkansas"	"05"	140	2821761	5.0
	"2006"	"2006"	"California"	"06"	1511	36021202	4.2
	"2006"	"2006"	"Colorado"	"08"	326	4720423	6.9
	"2006"	"2006"	"Connecticut"	"09"	224	3517460	6.4
	"2006"	"2006"	"Delaware"	"10"	37	859268	4.3
	"2006"	"2006"	"District of Columbia"	"11"	55	570681	9.6
	"2006"	"2006"	"Florida"	"12"	1223	18166990	6.7
	"2006"	"2006"	"Georgia"	"13"	331	9155813	3.6
